title,tags
Machete,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss. Action Comedy Thriller illegal_immigration immigration_law machete politician death_of_a_child hard_to_kill brutal_death Danny_Trejo Michelle_Rodriguez Jessica_Alba Robert_De_Niro Lindsay_Lohan Cheech_Marin Steven_Seagal Daryl_Sabara Don_Johnson Jeff_Fahey Tom_Savini Tina_Rodriguez Tito_Larriva Gilbert_Trejo Stacy_Keach James_Parks Billy_Blair Shea_Whigham Ara_Celi Felix_Sabates Electra_Avellan Elise_Avellan Marci_Madison Mayra_Leal Alejandro_Antonio Juan_Gabriel_Pareja Alicia_Rachel_Marek Roland_Ruiz Nina_Leon Robert_Rodriguez"
Casino Jack,"Based on a true story, a hot shot Washington DC lobbyist and his protégé go down hard as their schemes to peddle influence lead to corruption and murder. Crime Comedy Drama biography duringcreditsstinger Kevin_Spacey Kelly_Preston Hannah_Endicott-Douglas Rachelle_Lefevre Barry_Pepper Spencer_Garrett Jon_Lovitz Eric_Schweig Yannick_Bisson Maury_Chaykin Daniel_Kash Anna_Hardwick Ruth_Marshall Paul_Stephen Graham_Abbey Jeffrey_R._Smith George_Hickenlooper"
The Land Before Time,"An orphaned brontosaurus named Littlefoot sets off in search of the legendary Great Valley. A land of lush vegetation where the dinosaurs can thrive and live in peace. Along the way he meets four other young dinosaurs, each one a different species, and they encounter several obstacles as they learn to work together in order to survive. Animation Adventure Family vulkan loss_of_mother tyrannosaurus_rex earthquake primitive_time dinosaur Gabriel_Damon Candace_Hutson Judith_Barsi Will_Ryan Pat_Hingle Helen_Shaver Bill_Erwin Burke_Byrnes Don_Bluth"
Tae Guk Gi: The Brotherhood of War,"In 1950, in South Korea, shoe-shiner Jin-tae Lee and his 18-year-old old student brother, Jin-seok Lee, form a poor but happy family with their mother, Jin-tae's fiancé Young-shin Kim, and her young sisters. Jin-tae and his mother are tough workers, who sacrifice themselves to send Jin-seok to the university. When North Korea invades the South, the family escapes to a relative's house in the country, but along their journey, Jin-seok is forced to join the army to fight in the front, and Jin-tae enlists too to protect his young brother. The commander promises Jin-tae that if he gets a medal he would release his brother, and Jin-tae becomes the braver soldier in the company. Along the bloody war between brothers, the relationship of Jin-seok with his older brother deteriorates leading to a dramatic and tragic end. Action Adventure Drama History War archaeologist korean_war north_korea south_korea air_raid pyre Jang_Dong-gun Won_Bin Lee_Eun-ju Gong_Hyung-jin Park_Jeong-Woo Jo_Yoon-hee Choi_Min-sik Lee_Young-lan Ahn_Gil-kang Jang_Min-ho Jeong_Dae-Hun Jeon_Jae-hyeong Jung_Doo-hong Kim_Bo-Kyeong Kim_Su-ro Park_Kil-Soo Kang_Je-gyu"
The Perfect Game,"Based on a true story, a group of boys from Monterrey, Mexico who become the first non-U.S. team to win the Little League World Series. Drama Family baseball sport based_on_true_story family_relationships Clifton_Collins_Jr Cheech_Marin Moisés_Arias Emilie_de_Ravin Jake_T._Austin Jansen_Panettiere Ryan_Ochoa Gabriel_Morales Carlos_Padilla Tony_Revolori Mario_Revolori Alfredo_Rodríguez Bruce_McGill Patricia_Manterola David_Koechner Louis_Gossett,_Jr. Maddy_Curley Sonny_Carl_Davis William_Dear"
The Exorcist,"12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith. Drama Horror Thriller exorcism holy_water religion_and_supernatural vomit christian possession profanity priest ouija_board satan paranormal_phenomena girl demon strong_language disturbed_child crisis_of_faith sfx Linda_Blair Max_von_Sydow Ellen_Burstyn Jason_Miller Lee_J._Cobb Kitty_Winn William_O'Malley Jack_MacGowran Barton_Heyman Peter_Masterson Rudolf_Schündler Robert_Symonds Titos_Vandis Donna_Mitchell Robert_Gerringer Mercedes_McCambridge Eileen_Dietz William_Friedkin"
Jaws,"An insatiable great white shark terrorizes the townspeople of Amity Island, The police chief, an oceanographer and a grizzled shark hunter seek to destroy the bloodthirsty beast. Horror Thriller Adventure fishing atlantic_ocean bathing shipwreck police_chief ferry_boat dying_and_death dolly_zoom shark great_white_shark animal_horror Roy_Scheider Robert_Shaw Richard_Dreyfuss Lorraine_Gary Murray_Hamilton Carl_Gottlieb Jeffrey_Kramer Susan_Backlinie Jonathan_Filley Chris_Rebello Jay_Mello Lee_Fierro Jeffrey_Voorhees Craig_Kingsbury Robert_Nevin Ted_Grossman Peter_Benchley Dorothy_Fielding Steven_Spielberg Denise_Cheshire Fritzi_Jane_Courtney David_Engelbach Belle_McDonald Joseph_Oliveira Beverly_Powers Ayn_Ruymen Christopher_Sands Rex_Trailer Steven_Spielberg"
American Pie,"At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score."" by their senior prom. Comedy Romance graduation innocence coming_of_age teenager high_school_student pie teen_comedy teenage_sexuality exchange_student sitting_on_a_toilet voyeurism virginity laxative prom_night Jason_Biggs Chris_Klein Thomas_Ian_Nicholas Alyson_Hannigan Shannon_Elizabeth Tara_Reid Eddie_Kaye_Thomas Seann_William_Scott Eugene_Levy Natasha_Lyonne Mena_Suvari Jennifer_Coolidge Chris_Owen Eric_Lively Molly_Cheek John_Cho Justin_Isfeld Eli_Marienthal Tara_Subkoff Lawrence_Pressman Clyde_Kusatsu Christina_Milian Woody_Schultz Eden_Riegel Akuyoe_Graham Veronica_Lauren Monica_McSwain Fletcher_Sheridan Robyn_Roth Jamar_Cargo Sasha_Barrese Linda_Gehringer Jillian_Bach Katie_Lansdale James_DeBello Travis_Cody_Aimer Mark_Hoppus Tom_DeLonge Daniel_Spink Clementine_Ford Casey_Erklin Casey_Affleck Hilary_Angelo Chris_Weitz"
Ernest & Celestine,"Celestine is a little mouse trying to avoid a dental career; Ernest is a big bear craving an artistic outlet. When Celestine meets Ernest, they overcome their natural enmity by forging a life of crime together. Animation Comedy Drama Family mouse musician friendship prejudice bear Anne-Marie_Loop Lambert_Wilson Pauline_Brunner Patrice_Melennec Brigitte_Virtudes Léonard_Louf Dominique_Maurin Yann_Lemadic Féodor_Atkine Vincent_Grass Patrice_Dozier Jacques_Ciron Garance_Pauwels Romy_Beckman Delphina_Belle Susanne_Blakeslee Ashley_Boettcher Forest_Whitaker Mackenzie_Foy Lauren_Bacall Paul_Giamatti William_H._Macy Megan_Mullally Nick_Offerman Jeffrey_Wright Stéphane_Aubier"
The Golden Child,"A detective specializing in missing children is on a madcap mission to save a youth with mystical powers who's been abducted by an evil cult. He battles a band of super-nasties, scrambles through a booby-trapped chamber of horrors and traverses Tibet to obtain a sacred dagger. Action Adventure Comedy monk social_worker wretch tibet demon evil missing_person mysticism reluctant_hero Eddie_Murphy Charles_Dance Charlotte_Lewis Victor_Wong Peter_Kwong Jasmine_Reate James_Hong Randall_'Tex'_Cobb Michael_Ritchie"
Think Like a Man,"The balance of power in four couples’ relationships is upset when the women start using the advice in Steve Harvey’s book, Act Like A Lady, Think Like A Man, to get more of what they want from their men. When the men realize that the women have gotten a hold of their relationship “playbook,” they decide that the best defense is a good offense and come up with a plan to use this information to their advantage. Comedy Romance advice love relationship ensemble_cast duringcreditsstinger turning_the_tables reading_a_book african_american_comedy Michael_Ealy Jerry_Ferrara Meagan_Good Regina_Hall Kevin_Hart Taraji_P._Henson Terrence_Jenkins Romany_Malco Gabrielle_Union Jenifer_Lewis Gary_Owen La_La_Anthony Chris_Brown Wendy_Williams Sherri_Shepherd Caleel_Harris Arielle_Kebbel Steve_Harvey Tika_Sumpter Tim_Story"
Barbershop,"A day in the life of a barbershop on the south side of Chicago. Calvin, who inherited the struggling business from his deceased father, views the shop as nothing but a burden and waste of his time. After selling the shop to a local loan shark, Calvin slowly begins to see his father's vision and legacy and struggles with the notion that he just sold it out. Comedy Drama hairdresser shop neighbor debt meeting hoodlum Ice_Cube Anthony_Anderson Cedric_the_Entertainer Sean_Patrick_Thomas Eve DeRay_Davis Troy_Garity Michael_Ealy Keith_David Marcia_Wright Lahmard_J._Tate Deon_Cole Tim_Story"
Star Trek II: The Wrath of Khan,Admiral James T. Kirk is feeling old; the prospect of accompanying his old ship the Enterprise on a two week cadet cruise is not making him feel any younger. But the training cruise becomes a a life or death struggle when Khan escapes from years of exile and captures the power of creation itself. Action Adventure Science Fiction Thriller uss_enterprise genesis asteroid self_sacrifice midlife_crisis terraforming simulator cadet radiation uss_reliant ceti_alpha_v genetics space_opera William_Shatner Leonard_Nimoy DeForest_Kelley James_Doohan George_Takei Walter_Koenig Nichelle_Nichols Ricardo_Montalban Bibi_Besch Merritt_Butrick Kirstie_Alley Paul_Winfield Ike_Eisenmann John_Vargas John_Winston Paul_Kent Nicholas_Meyer
Ace Ventura: Pet Detective,"He's Ace Ventura: Pet Detective. Jim Carrey is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man . . . or beast! Comedy Mystery dolphin mascot private_detective pets Jim_Carrey Sean_Young Courteney_Cox Tone_Loc Dan_Marino Noble_Willingham Troy_Evans Raynor_Scheine Udo_Kier Frank_Adonis Tiny_Ron_Taylor John_Capodice Alice_Drummond Rebecca_Ferratti Mark_Margolis Randall_'Tex'_Cobb Bubba_Baker Robert_Deacon Greg_Finley Tom_Shadyac"
WarGames,"High School student David Lightman (Matthew Broderick) has a talent for hacking. But while trying to hack into a computer system to play unreleased video games, he unwittingly taps into the Defense Department's war computer and initiates a confrontation of global proportions! Together with his girlfriend (Ally Sheedy) and a wizardly computer genius (John Wood), David must race against time to outwit his opponent...and prevent a nuclear Armageddon. Thriller Science Fiction video_game artificial_intelligence fbi cold_war hacker prosecution norad government computer nuclear_threat Matthew_Broderick Dabney_Coleman Ally_Sheedy John_Wood Barry_Corbin Juanin_Clay Kent_Williams Dennis_Lipscomb Joe_Dorsey Irving_Metzman Michael_Ensign William_Bogert Susan_Davis James_Tolkan David_Clover Drew_Snyder John_Garber Duncan_Wilmore Billy_Ray_Sharkey John_Spencer Michael_Madsen Erik_Stern Gary_Bisig Gary_Sexton Jason_Bernard Frankie_Hill Jesse_D._Goins Alan_Blumenfeld Len_Lawson Maury_Chaykin Eddie_Deezen Stack_Pierce William_H._Macy John_Badham"
Witness,"A sheltered Amish child is the sole witness of a brutal murder in a restroom at a Philadelphia train station, and he must be protected.  The assignment falls to a taciturn detective who goes undercover in a Pennsylvania Dutch community. On the farm, he slowly assimilates despite his urban grit and forges a romantic bond with the child's beautiful mother. Crime Drama Romance Thriller corruption detective police_brutality amish suspense barn_raising lancaster,_pa Harrison_Ford Kelly_McGillis Josef_Sommer Lukas_Haas Jan_Rubes Alexander_Godunov Danny_Glover Brent_Jennings Patti_LuPone Angus_MacInnes Frederick_Rolf Viggo_Mortensen John_Garson Beverly_May Ed_Crowley Timothy_Carhart Sylvia_Kauders Robert_Earl_Jones Peter_Weir"
Act of Valor,"When a covert mission to rescue a kidnapped CIA operative uncovers a chilling plot, an elite, highly trained U.S. SEAL team speeds to hotspots around the globe, racing against the clock to stop a deadly terrorist attack. Action Thriller War submarine navy scuba_diving heroism navy_seal pistol secret_plot military_life valor terrorist_plot navy_life national_security pregnant_wife silver_star counter_plot duringcreditsstinger Roselyn_Sánchez Emilio_Rivera Nestor_Serrano Gonzalo_Menendez Alexander_Asefa Jeffrey_Barnachea Kenny_Calderon Raul_Canizales_II Drea_Castro Sam_Cespedes Jimmy_Chhiu Charles_Chiyangwa Antoni_Corone Jason_Cottle Jesse_Cotton Craig_H._Davidson Juan_Diaz Aurelius_DiBarsanti Pedro_Sergio_Escobedo Mike_McCoy"
Step Up,"Everyone deserves a chance to follow their dreams, but some people only get one shot. Tyler Gage is a rebel from the wrong side of Baltimore's tracks and the only thing that stands between him and an unfulfilled life are his dreams of one day making it out of there. Nora is a privileged ballet dancer attending Baltimore's ultra-elite Maryland School of the Arts Music Drama Romance Crime dancing new_love dance baltimore art_school woman_director Channing_Tatum Jenna_Dewan Damaine_Radcliff De'Shawn_Washington Mario Drew_Sidora Rachel_Griffiths Josh_Henderson Tim_Lacatena Alyson_Stoner Heavy_D Deirdre_Lovejoy Jane_Beard Richard_Pelzman Carlyncia_S._Peck Ryan_Sands DeLon_Howell Dominique_Boyd Reina_Poindexter Angelica_Huesca Frank_Ferrara Frank_Herzog Anne_Fletcher Natalie_Steinberg Jamie_Scott Isaiah_Washington Jiehae_Park Sheila_Cutchlow John_Leslie_Wolfe Karim_Fawzy Tom_Quinn Shiloh_Monaco Caitlin_Kinney Jeanne Jeannie_Ortega Donald_Rheubottom Donald_Waugh Michael_Seresin Spencer_Longmore Adrienne_Canterna Oscar_Campisi Tara_Ghassemieh Nikkia_Parish Ryan_Rankine Emily_Bicks Whitney_Brown Ashley_Canterna Sara_Cato Caitlin_Gold Stephanie_Jingle Rebecca_Mejia Anthony_Carr Laura_Edwards Samantha_Frampton Antonio_Hudnell Julie_Nelson Samantha_Zweben Shawn_Michelle_Cosby Melissa_Emrico Sabrina_Furr George_Hubela Jameson_Perry Ashley_Phipps Denise_Piane Sarah_Satow Jamal_Sims Adam_Shankman Zachary_Woodlee John_Alix Kellie_Corbett Lance_Guillermo Kirk_Jennings Monica_Warr Joanna_Becker Ted_Borodaeff Matthew_Bowerman Jeremy_Bustin Jen_Carden Eddy_Challita Jordan_Michael_Coulson Devraj_Dasgupta Bruce_Allen_Dawson Tony_Devon Pamela_Fischer Alan_Gates Stephanie_Ray_Glass Jamie_Marie_Hannigan Matt_Hartman Katherine_Hoskins_Mackey Melvin_Jackson_Jr. Kawan_Kean Nicole_Catrice_Keller Jonathan_Langley Tia_Latrell Chris_K._Layman Jed_Lunario James_P._Morrow Sandra_Lynn_O'Brien Chris_O'Brocki Elizabeth_O'Callaghan Mina_Pahlevan Emily_Peachey Jennifer_Rouse Natasha_Sattler Noah_Schaftel Leo_Christopher_Sheridan Kacie_Smith Thomas_W._Stewart JB_Tadena Towanda_Underdue Shaunté_Usual Jay_Viera Torell_Vinson Raquel_Yasmin Anne_Fletcher"
Beavis and Butt-Head Do America,"Mike Judge's slacker duo, Beavis and Butt-Head, wake to discover their TV has been stolen. Their search for a new one takes them on a clueless adventure across America where they manage to accidentally become America's most wanted. Animation Comedy washington_d.c. casino hotel sun television sperm based_on_tv_series las_vegas swat_team adult_animation road_movie Mike_Judge Bruce_Willis Demi_Moore Robert_Stack Richard_Linklater Richard_Linklater Cloris_Leachman Greg_Kinnear David_Letterman Tony_Darling David_Letterman Kristofor_Brown Eric_Bogosian Jacqueline_Barba Pamela_Blair Mike_Judge"
Jackie Brown,"Jackie Brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. When the cops try to use Jackie to get to her boss, she hatches a plan—with help from a bail bondsman—to keep the money for herself. Based on Elmore Leonard's novel “Rum Punch”. Comedy Crime Romance airport underworld arms_deal weapon police drug Pam_Grier Samuel_L._Jackson Robert_Forster Bridget_Fonda Michael_Keaton Robert_De_Niro Michael_Bowen Chris_Tucker Lisa_Gay_Hamilton Tom_Lister_Jr. Sid_Haig Aimee_Graham Tangie_Ambrose T'Keyah_Crystal_Keymah Vanessia_Valentino Diana_Uribe Elizabeth_McInerney Colleen_Mayne Laura_Lovelace Christine_Lydon Julia_Ervin Juliet_Long Michelle_Berube Candice_Briese Gary_Mann Jeffrey_Deedrick Roy_Nesvold Herbert_Hans_Wilmsen Hattie_Winston Mary_Ann_Schmidt Glendon_Rich Ellis_E._Williams Quentin_Tarantino"
Harold & Kumar Escape from Guantanamo Bay,"Having satisfied their urge for White Castle, Harold and Kumar jump on a plane to catch up with Harold's love interest, who's headed for the Netherlands. But the pair must change their plans when Kumar is accused of being a terrorist. Rob Corddry also stars in this wild comedy sequel that follows the hapless stoners' misadventures as they try to avoid being captured by the Department of Homeland Security. Comedy Adventure terrorist aftercreditsstinger duringcreditsstinger John_Cho Kal_Penn Neil_Patrick_Harris Rob_Corddry Jack_Conley Roger_Bart Eric_Winter Christopher_Meloni Danneel_Ackles Missi_Pyle Ava_Santana Jon_Reep Paula_Garcés Crystal_Mantecon Richard_Christy Josh_Heald D'Anthony_Palms Marisa_Belinda Jimmy_Lee_Jr. Jon_Hurwitz"
Chronicle,"Three high school students make an incredible discovery, leading to their developing uncanny powers beyond their understanding. As they learn to control their abilities and use them to their advantage, their lives start to spin out of control, and their darker sides begin to take over. Science Fiction Drama Thriller seattle telekinesis friendship loneliness outcast coming_of_age student teenager superpower found_footage aftercreditsstinger abuse bittersweet Dane_DeHaan Alex_Russell Michael_B._Jordan Michael_Kelly Anna_Wood Ashley_Hinshaw Joe_Vaz Luke_Tyler Crystal-Donna_Roberts Josh_Trank"
Yentl,A Jewish girl disguises herself as a boy to enter religious training. Music Drama Romance studies music disguise unhappiness boys'_school woman_director Barbra_Streisand Mandy_Patinkin Amy_Irving Nehemiah_Persoff Steven_Hill Miriam_Margolyes Jonathan_Tafler Barbra_Streisand
Time Bandits,"Young history buff Kevin can scarcely believe it when six dwarfs emerge from his closet one night. Former employees of the Supreme Being, they've purloined a map charting all of the holes in the fabric of time and are using it to steal treasures from different historical eras. Taking Kevin with them, they variously drop in on Napoleon, Robin Hood and King Agamemnon before the Supreme Being catches up with them. Family Fantasy Science Fiction Adventure Comedy treasure map magic time_travel titanic cage steampunk minotaur independent_film good_vs_evil tank burglary Sean_Connery John_Cleese Shelley_Duvall Michael_Palin Ian_Holm Ralph_Richardson Katherine_Helmond Peter_Vaughan David_Warner David_Rappaport Kenny_Baker Malcolm_Dixon Mike_Edmonds Jack_Purvis Tiny_Ross Jim_Broadbent Sheila_Fearn David_Daker Derrick_O'Connor Preston_Lockwood Terence_Bayler Derek_Deadman Tony_Jay Jerold_Wells Neil_McCarthy Charles_McKeown Winston_Dennis David_Leland Andrew_MacLachlan Leon_Lissek Declan_Mulholland Myrtle_Devenish Peter_Jonfield Marcus_Powell Mark_Holmes Roger_Frost John_Young Terry_Gilliam"
Crossroads,"Three friends get together and bury a box making a pact to open it at midnight at their high school graduation. In the little town in Georgia that they live in, things soon change. One is little miss perfect, one is an engaged prom queen, and the other is a pregnant outcast. The night of graduation, they open the box and they strike up a conversation. All of a sudden, one brings up the topic of her going to Los Angeles for a record contract audition. They all decide to go together and they leave. With a little money, they set out on the road with a guy named Ben. When one of them tells the other a rumor that he might be a homicidal maniac they are all scared of him. When they reach LA, Lucy falls in love with Ben and against her father's wishes, she stays and she goes to the audition. Action Adventure Comedy Drama Family Music Romance dancing women sex karaoke dream pop_singer virgin motel graduation kiss friendship high_school road_trip unfaithful_boyfriend hospital singing teenager girl rebellious_daughter on_the_road father_daughter_relationship chick_flick pop_music audition teenage_pregnancy mother_daughter_estrangement implied_rape woman_director journey song_writing Britney_Spears Zoe_Saldana Taryn_Manning Anson_Mount Dan_Aykroyd Justin_Long Jamie_Lynn_Spears Kim_Cattrall Seth_Romatelli Tamra_Davis"
Project X,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads. Comedy Crime vandalism high_school swimming_pool party teen_movie teenager dog high_school_student fake_documentary sex_doll lime underwater_photography bouncy_castle flash_grenade Oliver_Cooper Jonathan_Daniel_Brown Thomas_Mann Dax_Flame Kirby_Bliss_Blanton Brady_Hender Nick_Nervies Alexis_Knapp Miles_Teller Peter_MacKenzie Caitlin_Dulany Rob_Evors Rick_Shapiro Brendan_Miller Nichole_Bloom Martin_Klebba Sam_Lant Robb_Reesman Kevin_Dunigan Zach_Lasry Colleen_Flynn Jodi_Harris Pete_Gardner Kevin_Ryder Jillian_Barberie Jimmy_Kimmel Sophia_Santi Ciara_Hanna Nima_Nourizadeh"
Patton,"""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination. Drama History War general world_war_ii normandy biography historical_figure d-day dead_soldier tank steel_helmet destiny allies George_C._Scott Karl_Malden Stephen_Young Michael_Strong Carey_Loftin Albert_Dumortier Frank_Latimore Morgan_Paull Karl_Michael_Vogler Bill_Hickman Pat_Zurica James_Edwards Lawrence_Dobkin David_Bauer John_Barrie Richard_Münch Siegfried_Rauch Michael_Bates Paul_Stevens Gerald_Flood Jack_Gwillim Edward_Binns Peter_Barkworth Lionel_Murton David_Healy Sandy_McPeak Douglas_Wilmer John_Doucette Tim_Considine Abraxas_Aaran Clint_Ritchie Alan_MacNaughton Florencio_Amarilla Brandon_Brady Charles_Dennis Paul_Frees Dolores_Judson Hellmut_Lange Bruce_Rhodewalt Lowell_Thomas Harry_Towb Billy_Kearns Franklin_J._Schaffner"
One Hour Photo,"Sy ""the photo guy"" Parrish has lovingly developed photos for the Yorkin family since their son was a baby. But as the Yorkins' lives become fuller, Sy's only seems lonelier, until he eventually believes he's part of their family. When ""Uncle"" Sy's picture-perfect fantasy collides with an ugly dose of reality, what happens next ""has the spine-tingling elements of the best psychological thrillers!"" Horror Thriller sexual_abuse hotel_room cheating supermarket penalty nudity knife birthday_party photography stalker photo_lab suspense sitting_on_a_toilet imagination voyeurism unfaithful_husband Robin_Williams Connie_Nielsen Michael_Vartan Erin_Daniels Eriq_La_Salle Gary_Cole Dylan_Smith Lee_Garlington Marion_Calvert David_Moreland Jim_Rash Nick_Searcy Dave_Engfer Jimmy_Shubert Clark_Gregg Andy_Rolfes Carmen_Mormino Peter_MacKenzie Andy_Comeau Robert_Clotworthy Jesse_Borja Jeana_Wilson Megan_Corletto Paul_Hansen_Kim Mark_Romanek"
Quarantine,A television reporter and her cameraman are trapped inside a building quarantined by the CDC after the outbreak of a mysterious virus which turns humans into bloodthirsty killers. Horror Science Fiction Thriller quarantine remake tv_reporter found_footage virus Jennifer_Carpenter Steve_Harris Jay_Hernandez Johnathon_Schaech Columbus_Short Andrew_Fiscella Rade_Serbedzija Greg_Germann Bernard_White Dania_Ramirez Marin_Hinkle Joey_King Denis_O'Hare Jermaine_Jackson Doug_Jones Craig_Susser John_Erick_Dowdle
The Eye,"Violinist Sydney Wells was accidentally blinded by her sister Helen when she was five years old. She submits to a cornea transplantation, and while recovering from the operation, she realizes that she is seeing dead people. Drama Horror Thriller sister_sister_relationship blindness_and_impaired_vision eye_operation eyesight dying_and_death eye classical_music sister eye_specialist remake Jessica_Alba Alessandro_Nivola Parker_Posey Rade_Serbedzija Fernanda_Romero Obba_Babatundé Danny_Mora Rachel_Ticotin Chloë_Grace_Moretz Tamlyn_Tomita Karen_Austin Mia_Stallard David_Moreau"
Johnson Family Vacation,"AAA can't help the roadside emergency that is the JOHNSON FAMILY VACATION. Even the on-board navigation system has a meltdown on Nate Johnson and his family's cross-country trek to their annual family reunion/grudge match. Reluctantly along for the ride are Nate's wife, who's only in it for the kids; their rapper-wannabe son; their teenage daughter who's fashioned herself as the next Lolita; and their youngest, whose imaginary dog Nate just can't seem to keep track of. Can the Johnsons survive each other and all the obstacles the road throws at them to make it to Caruthersville, Missouri? Can they find Missouri? Comedy Family  Cedric_the_Entertainer Vanessa_Williams Steve_Harvey Shari_Headley Shad_Moss Solange_Knowles Kat_Graham Jason_Momoa Shannon_Elizabeth Aloma_Wright Jennifer_Freeman Christopher_Erskin"
How High,"Multi-platinum rap superstars Redman and Method Man star as Jamal and Silas, two regular guys who smoke something magical, ace their college entrance exams and wind up at Harvard. Ivy League ways are strange but Silas and Jamal take it in a stride -- until their supply of supernatural smoke runs dry. That's when they have to start living by their wits and rely on their natural resources to make the grade. Comedy carpet pimp harvard_university joint cannabis teen_movie university person_on_fire cult_film dove dean weed+ marijuana_joint smoke drug_deal canon pot_head smoke_ring pill_bottle doves baby_powder grave_robbing corpse_in_coffin pillbox pot Method_Man Redman Obba_Babatundé Mike_Epps Anna_Maria_Horsford Fred_Willard Jeffrey_Jones Héctor_Elizondo Cypress_Hill Essence_Atkins Jesse_Dylan"
The Muppet Christmas Carol,"A retelling of the classic Dickens tale of Ebenezer Scrooge, miser extraordinaire. He is held accountable for his dastardly ways during night-time visitations by the Ghosts of Christmas Past, Present, and future. Comedy Family Fantasy Drama holiday future musical past scrooge christmas_carol charles_dickens christmas Michael_Caine Don_Austen Meredith_Braun Don_Austen Ed_Sanders Dave_Goelz Simon_Buckley Craig_Crane John_Eccleston Steven_Mackintosh Robin_Weaver Jessica_Fox David_Shaw-Parker Edward_Sanders Kristopher_Milnes Russell_Martin Raymond_Coulthard Anthony_Hamblin Fergus_Brazier Brian_Henson"
Frida,"""Frida"" chronicles the life Frida Kahlo shared unflinchingly and openly with Diego Rivera, as the young couple took the art world by storm. From her complex and enduring relationship with her mentor and husband to her illicit and controversial affair with Leon Trotsky, to her provocative and romantic entanglements with women, Frida Kahlo lived a bold and uncompromising life as a political, artistic, and sexual revolutionary Drama Romance painter love_of_one's_life disabled woman_director Salma_Hayek Alfred_Molina Mía_Maestro Patricia_Reyes_Spíndola Diego_Luna Roger_Rees Ashley_Judd Antonio_Banderas Edward_Norton Saffron_Burrows Geoffrey_Rush Margarita_Sanz Omar_Rodríguez Lila_Downs Julie_Taymor"
Katy Perry: Part of Me,"Giving fans unprecedented access to the real life of the music sensation, Katy Perry: Part of Me exposes the hard work, dedication and phenomenal talent of a girl who remained true to herself and her vision in order to achieve her dreams. Featuring rare behind-the-scenes interviews, personal moments between Katy and her friends, and all-access footage of rehearsals, choreography, Katy’s signature style and more, Katy Perry: Part of Me reveals the singer’s unwavering belief that if you can be yourself, then you can be anything. Documentary Music woman_director Katy_Perry Russell_Brand Shannon_Woodward Rachael_Markarian Mia_Moretti Glen_Ballard Adam_Marcello Casey_Hooper Patrick_Matera Max_Hart Kesha_Rose_Sebert Dan_Cutforth"
The Fault in Our Stars,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten. Romance Drama amsterdam based_on_novel support_group cancer teenager star_crossed_lovers teen_drama oxygen_tank based_on_young_adult_novel Shailene_Woodley Ansel_Elgort Nat_Wolff Laura_Dern Sam_Trammell Willem_Dafoe Lotte_Verbeek Mike_Birbiglia Ana_Dela_Cruz Randy_Kovitz Emily_Peachey David_Whalen Milica_Govich_ Allegra_Carpenter Toni_Saladna Emily_Bach Tim_Hartman Bethany_Leo Alexis_Hodges Jean_Brassard Carly_Otte Lily_Kenna Silvio_Wolf_Busch Viviana_Cardenas Jordan_Drexel PJ_Rossotto Tanner_Boatwright Cheyenne_Hurley Jennifer_Kline Carol_Weyers Lauren_Blumenthal Nikki_Lipinski Sebastian_Dean Alexander_Murph Taylor_Dettore Josh_Potter Steven_Edmonds Cindy_Zeng C.J._Evans Daniel_Booko Jacqueline_Pinol Sitara_Attaie Jim_Pirri Jean_Gilpin Joey_Richter Nicholas_Guest Danielle_Hartnett Matthew_Wolf Dina_Morrone Josh_Boone"
